,,,,,,,,,,,,,,,,,,,,,,,,,,,,mcwv,,,,,,,,,,,,,,,,,,,,,,,,
,,1,,2,,3,,34,,35,,,,,1,,2,,3,,34,,35,,,,,,,,,,,,,,Lamda Calculation,,,,,,,,,,,,,,,
mcfpa,,Eucledian,,alogistic,,hebb,,moduloX1,,moduloX2,,,,mcfpv,Eucledian,,alogistic,,hebb,,moduloX1,,moduloX2,,,,,,,,,,,,,,Power,,,,,,Sum,,,,,,,,,
,,power ,?,?,??,persistance,,toggleAt,Interval Length,toggleAt,Interval Length,,,,power ,?,?,??,persistance,,toggleAt,Interval Length,toggleAt,Interval Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,wspf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1,wspf,NaN,NaN,NaN,NaN,NaN,NaN,60,120,NaN,NaN,,,1,wspf,1,NaN,NaN,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,NaN,NaN,1,NaN,,%,wspf
2,wsnf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,2,wsnf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,120,,,2,wsnf,1,NaN,NaN,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,NaN,NaN,NaN,1,,%,wsnf
3,wss,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,3,wss,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,3,wss,1,NaN,NaN,NaN,NaN,,,,1,0,0,0,0,,1,,1,NaN,NaN,NaN,NaN,,%,wss
4,sspf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,4,sspf,1,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4,sspf,0.8,NaN,NaN,NaN,NaN,,,,0.8,0,0,0,0,,0.8,,1,NaN,NaN,NaN,NaN,,%,sspf
5,ssnf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,5,ssnf,1,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,5,ssnf,0.8,NaN,NaN,NaN,NaN,,,,0.8,0,0,0,0,,0.8,,1,NaN,NaN,NaN,NaN,,%,ssnf
6,sss,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,6,sss,1,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,6,sss,0.8,NaN,NaN,NaN,NaN,,,,0.8,0,0,0,0,,0.8,,1,NaN,NaN,NaN,NaN,,%,sss
7,srspf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,7,srspf,2,0.8325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,7,srspf,0.9,0.15,NaN,NaN,NaN,,,,0.81,0.0225,0,0,0,,0.8325,,1,NaN,NaN,NaN,NaN,,%,srspf
8,srsnf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,8,srsnf,NaN,NaN,30,0.6,NaN,NaN,NaN,NaN,NaN,NaN,,,8,srsnf,0.9,0.15,NaN,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,1,NaN,NaN,NaN,,%,srsnf
9,bs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,9,bs,NaN,NaN,10,0.2,NaN,NaN,NaN,NaN,NaN,NaN,,,9,bs,0.5,NaN,NaN,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,1,NaN,NaN,NaN,,%,bs
10,pfc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,10,pfc,1,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,10,pfc,0.4,NaN,NaN,NaN,NaN,,,,0.4,0,0,0,0,,0.4,,1,NaN,NaN,NaN,NaN,,%,pfc
11,eval+,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,11,eval+,2,0.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,11,eval+,0.7,0.3,0.6,NaN,NaN,,,,0.49,0.09,0.36,0,0,,0.94,,1,NaN,NaN,NaN,NaN,,%,eval+
12,vent_sat,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,12,vent_sat,NaN,NaN,3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,,,12,vent_sat,0.2,0.3,NaN,-0.4,NaN,,,,0,0,0,0,0,,0,,NaN,1,NaN,NaN,NaN,,%,vent_sat
13,eshappy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,13,eshappy,1,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,13,eshappy,0.8,NaN,NaN,NaN,NaN,,,,0.8,0,0,0,0,,0.8,,1,NaN,NaN,NaN,NaN,,%,eshappy
14,flove,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,14,flove,NaN,NaN,3,0.6,NaN,NaN,NaN,NaN,NaN,NaN,,,14,flove,NaN,0.4,NaN,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,1,NaN,NaN,NaN,,%,flove
15,freward,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,15,freward,NaN,NaN,3,0.2,NaN,NaN,NaN,NaN,NaN,NaN,,,15,freward,0.5,NaN,NaN,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,1,NaN,NaN,NaN,,%,freward
16,hipp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,16,hipp,NaN,NaN,3,0.2,NaN,NaN,NaN,NaN,NaN,NaN,,,16,hipp,NaN,NaN,NaN,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,1,NaN,NaN,NaN,,%,hipp
17,cs,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,17,cs,NaN,NaN,10,0.5,NaN,NaN,NaN,NaN,NaN,NaN,,…… For Ref……,17,cs,0.01,0.8,NaN,NaN,NaN,,,,0,0,0,0,0,,0,,NaN,1,NaN,NaN,NaN,,%,cs
18,eval-,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,18,eval-,1,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,18,eval-,0.9,-0.2,NaN,NaN,NaN,,,,0.9,-0.2,0,0,0,,0.9,,1,NaN,NaN,NaN,NaN,,%,eval-
